,N (%)
Age mean,50.58 +/- 0.08
[PAY1] Private insurance,25430 (63.94)
[PAY1] Medicare,8800 (22.13)
[PAY1] Medicaid,3320 (8.35)
[PAY1] Other,1152 (2.90)
[PAY1] Self-pay,888 (2.23)
[PAY1] No charge,181 (0.46)
[RACE] White,23812 (59.87)
[RACE] Unknown,5801 (14.59)
[RACE] Hispanic,4395 (11.05)
[RACE] Black,2148 (5.40)
[RACE] Asian or Pacific Islander,2089 (5.25)
[RACE] Other,1364 (3.43)
[RACE] Native American,162 (0.41)
[SEX] Female,28855 (72.55)
[SEX] Male,10661 (26.81)
[SEX] Unknown,255 (0.64)
[HOSP_LOCTEACH] Urban teaching,27152 (68.27)
[HOSP_LOCTEACH] Urban nonteaching,10959 (27.56)
[HOSP_LOCTEACH] Rural,1660 (4.17)
[HOSP_REGION] Northeast,11641 (29.27)
[HOSP_REGION] West,10584 (26.61)
[HOSP_REGION] South,10495 (26.39)
[HOSP_REGION] Midwest,7051 (17.73)
[INCOME_QRTL] 4,14302 (35.96)
[INCOME_QRTL] 3,9962 (25.05)
[INCOME_QRTL] 2,8493 (21.35)
[INCOME_QRTL] 1,7014 (17.64)
