,N (%)
Age mean,62.07 +/- 0.20
[PAY1] Private insurance,1890 (45.58)
[PAY1] Medicare,1673 (40.34)
[PAY1] Medicaid,380 (9.16)
[PAY1] Self-pay,102 (2.46)
[PAY1] Other,92 (2.22)
[PAY1] No charge,10 (0.24)
[RACE] White,2983 (71.93)
[RACE] Hispanic,376 (9.07)
[RACE] Black,275 (6.63)
[RACE] Unknown,199 (4.80)
[RACE] Asian or Pacific Islander,171 (4.12)
[RACE] Other,119 (2.87)
[RACE] Native American,24 (0.58)
[SEX] Male,2517 (60.69)
[SEX] Female,1628 (39.26)
[SEX] Unknown,2 (0.05)
[HOSP_LOCTEACH] Urban teaching,3186 (76.83)
[HOSP_LOCTEACH] Urban nonteaching,846 (20.40)
[HOSP_LOCTEACH] Rural,115 (2.77)
[HOSP_REGION] South,1479 (35.66)
[HOSP_REGION] Midwest,950 (22.91)
[HOSP_REGION] West,949 (22.88)
[HOSP_REGION] Northeast,769 (18.54)
[INCOME_QRTL] 3,1066 (25.71)
[INCOME_QRTL] 4,1048 (25.27)
[INCOME_QRTL] 1,1019 (24.57)
[INCOME_QRTL] 2,1014 (24.45)
