,Odds Ratios,Lower CI,Upper CI,P Value
AGE[T.True],0.7410813007366184,0.6568160498271269,0.8361572383105244,1.141841466223807e-06
APRDRG_Severity[T.True],6.0993470213352765,5.536539553900497,6.71936572013879,2.2362716619361355e-293
APRDRG_Risk_Mortality[T.True],1.3465600460903957,1.2147113674206045,1.4927200044050661,1.5180943604261923e-08
Medicaid (compared to: Private insurance),0.9759207871477487,0.8396284212273769,1.1343367598190908,0.7507991726903706
Medicare (compared to: Private insurance),0.9019361874164334,0.7976883216146188,1.0198079426870519,0.09956356397915485
No charge (compared to: Private insurance),0.8481735427601175,0.431649064879686,1.6666278631664997,0.6327855994121669
Other (compared to: Private insurance),1.1573526207609728,0.9041609873030667,1.4814453483307781,0.24599048400416534
Self-pay (compared to: Private insurance),1.1629947187688412,0.9055653452089734,1.4936047663927472,0.23685415640829388
Asian or Pacific Islander (compared to: White),1.218783000691327,0.9844197896442006,1.5089416307965888,0.06939387018839903
Black (compared to: White),1.1481979716621948,0.9922667801566695,1.3286331947150567,0.06349406647224246
Hispanic (compared to: White),1.2629492291835553,1.0870462423441984,1.4673163784234753,0.0022834839987399616
Native American (compared to: White),0.5114801618409184,0.24543027087389363,1.0659319041017272,0.07352810484993197
Other (compared to: White),1.253735755544746,0.9804307425868806,1.603227312705431,0.07147721260536113
Unknown (compared to: White),0.7251212611090683,0.6374662870549767,0.8248292560561077,1.0103842559404031e-06
Female (compared to: Male),0.6655351119151531,0.6131437356955814,0.7224031811878908,2.1810890535357766e-22
Unknown (compared to: Male),7.860666198035989e-08,0.0,inf,0.9937979865931095
Rural (compared to: Urban teaching),0.808754559295522,0.6842960889663374,0.9558492993425107,0.012789233379218105
Urban nonteaching (compared to: Urban teaching),0.7944522336110021,0.7266623937334523,0.8685661414880163,4.2705137945955564e-07
Midwest (compared to: South),0.9685542957989346,0.8721764652027898,1.0755821342788159,0.5501948702300534
Northeast (compared to: South),1.0122536454489688,0.90455117103853,1.1327799637341696,0.8319566454377954
West (compared to: South),1.0873659750396383,0.9744675618092257,1.2133444046907929,0.13425429753149
INCOME_QRTL[T.True],0.9421186419373172,0.8685162190687177,1.0219585034779741,0.15082867366251881
