,Odds Ratios,Lower CI,Upper CI,P Value
AGE[T.True],4.240176003542156,1.010602143340568,17.79047537103418,0.0483387859568631
APRDRG_Severity[T.True],304830307632.8681,0.0,inf,0.9999229680358359
APRDRG_Risk_Mortality[T.True],237230693.58857104,0.0,inf,0.9954922805116624
Medicaid (compared to: Private insurance),1.2607473902769629e-06,0.0,inf,0.98259480500584
Medicare (compared to: Private insurance),0.43588574566720284,0.13697483583288886,1.3870896951294875,0.1597385588992868
No charge (compared to: Private insurance),49.02483395984911,1.6366148875996875,1468.5399497469618,0.02483428056332043
Other (compared to: Private insurance),1.3360113459383078,0.10964617370857262,16.278965841708487,0.8203500007499289
Self-pay (compared to: Private insurance),3.2779123541824623e-10,0.0,inf,0.9997338238928533
Asian or Pacific Islander (compared to: White),3.4277293381399626e-06,0.0,inf,0.9850896877253904
Black (compared to: White),0.9986148859532213,0.26819460024689407,3.7183138270842733,0.9983512224127992
Hispanic (compared to: White),0.21499829047293786,0.01784887201856696,2.589758325243289,0.22606381163493638
Native American (compared to: White),3.577484058989717e-44,0.0,inf,1.0
Other (compared to: White),1.1365654110048021e-13,0.0,inf,0.9999896877127039
Unknown (compared to: White),2.430572319655867e-07,0.0,inf,0.9934121388836832
Female (compared to: Male),0.44339639595264246,0.15871342759176454,1.2387128608266151,0.1207664922042758
Unknown (compared to: Male),1594537715.4336224,0.0,inf,0.9999999833550434
Rural (compared to: Urban teaching),1.1535524836403641,0.1207867651562632,11.016797500879605,0.9012597265229967
Urban nonteaching (compared to: Urban teaching),1.3125867336514199,0.4951876677635981,3.4792545241256003,0.5844603343458599
Midwest (compared to: South),1.277794492238603,0.44712176414690435,3.651709434253479,0.6472744450667711
Northeast (compared to: South),1.4885223655424553,0.4753378902118482,4.661313306483135,0.4946131632108334
West (compared to: South),1.0506818326452092,0.24741237825532972,4.461912218116415,0.9465772830457382
INCOME_QRTL[T.True],0.3551454067057836,0.1330147584581353,0.9482275603568737,0.038822837385803874
