,Odds Ratios,Lower CI,Upper CI,P Value
AGE[T.True],0.6966067966302749,0.3873242741421103,1.2528546789025925,0.22734384065453528
APRDRG_Severity[T.True],8.65144217205031,5.013450440845085,14.929329119630037,9.103100436976715e-15
APRDRG_Risk_Mortality[T.True],3.660488483437055,2.1777131946186294,6.1528652948818765,9.71904777724844e-07
Medicaid (compared to: Private insurance),0.9212270179886507,0.49340066328583443,1.720020425227156,0.7967513605517216
Medicare (compared to: Private insurance),0.5110923393076553,0.27933859839015535,0.9351209636060712,0.02943660821581131
No charge (compared to: Private insurance),1.1289316222229715,0.105008297250027,12.137008608190367,0.9202810009680346
Other (compared to: Private insurance),2.4564982374681317,0.9178909518021002,6.574183544174501,0.0735533162407353
Self-pay (compared to: Private insurance),1.2252621058124533,0.45404538846524783,3.306425450139492,0.6883473023770263
Asian or Pacific Islander (compared to: White),1.5065702195146973,0.5926252283076652,3.8299986532976384,0.38928206469528226
Black (compared to: White),0.7641000937853335,0.3478652010626689,1.6783770021812943,0.5027533590736628
Hispanic (compared to: White),1.677766479334944,0.9339675007033835,3.013916819439685,0.08338188505405776
Native American (compared to: White),0.990863421818845,0.11133449569363975,8.818563506141055,0.993434001446339
Other (compared to: White),0.6339040411713618,0.18281912685499402,2.1979884726837415,0.472408629262716
Unknown (compared to: White),0.6148906110534771,0.1805787483599886,2.0937705405288605,0.43662386233465067
Female (compared to: Male),0.666684853516747,0.4326783030695278,1.0272497852456999,0.06605083008139317
Unknown (compared to: Male),2.843892747526375e-05,0.0,inf,0.9940605324289505
Rural (compared to: Urban teaching),0.36152427277171706,0.04782090285241693,2.7331102511067122,0.3242368794921827
Urban nonteaching (compared to: Urban teaching),1.251433553703916,0.8066204509643707,1.9415400855057017,0.31686111496990654
Midwest (compared to: South),1.082724000577799,0.6409084097052211,1.829108876830585,0.7663987834875923
Northeast (compared to: South),0.5607814017438698,0.29363067043641256,1.0709909154735973,0.07973882036152789
West (compared to: South),1.1892387157664102,0.7112665901938335,1.9884087662437797,0.5087123085212344
INCOME_QRTL[T.True],1.0832847904499132,0.7237422121502626,1.6214418856868758,0.6974552916034631
