,Odds Ratios,Lower CI,Upper CI,P Value
AGE[T.True],1.133449750344457,0.880682412193905,1.4587646111332242,0.33054294396003714
APRDRG_Severity[T.True],15.279597262562794,8.022422242490423,29.101695902962206,1.0916560689321369e-16
APRDRG_Risk_Mortality[T.True],28.77661651590122,16.496278663885928,50.19881604668346,2.6126621861815656e-32
Medicaid (compared to: Private insurance),1.6756883620717922,1.16546224369819,2.4092856735305723,0.005328743612723348
Medicare (compared to: Private insurance),1.6833405177556966,1.2308956749346014,2.3020921727331363,0.001111537613699855
No charge (compared to: Private insurance),2.064985885526366,0.4746725347968389,8.983386218560517,0.33372066925668675
Other (compared to: Private insurance),1.6419766394041753,0.7969825827143803,3.382868512843327,0.1787367644524296
Self-pay (compared to: Private insurance),1.3583977194022274,0.7008984255166264,2.6326844188828904,0.3642563962275718
Asian or Pacific Islander (compared to: White),1.8631677161821463,1.1519284107289856,3.013550066385254,0.011197321742372545
Black (compared to: White),1.4170417504895194,1.1137783016896754,1.8028788310780712,0.004553957240012273
Hispanic (compared to: White),1.0373603938970064,0.7184017416237374,1.497931483843434,0.8448684046200571
Native American (compared to: White),1.7503078608651321,0.5224420893669589,5.863956350680702,0.36415370036406136
Other (compared to: White),0.7984867507814597,0.4251306485233753,1.49972977339571,0.4840868972984399
Unknown (compared to: White),1.3569955704892036,1.000280759717317,1.8409201221142315,0.04978950440736077
Male (compared to: Female),1.3213186463394402,1.0904174375180549,1.6011143119080786,0.004465366654202907
Unknown (compared to: Female),0.7546805925513487,0.0012693921147560508,448.67365265074767,0.9311794795764995
Rural (compared to: Urban teaching),1.5473849769206316,0.9317664111470568,2.5697430580825746,0.09162559240887626
Urban nonteaching (compared to: Urban teaching),1.643149844666547,1.3458352829052243,2.0061455115067233,1.079921776282981e-06
INCOME_QRTL[T.True],1.1215742725991262,0.9208089512365583,1.3661127503886457,0.25423541080778955
