,Odds Ratios,Lower CI,Upper CI,P Value
AGE[T.True],1.1630132562347915,0.8412755447295203,1.6077964498691437,0.3607438532585906
APRDRG_Severity[T.True],4.852142056864987,3.525424978082813,6.678140277091141,3.281335790777204e-22
APRDRG_Risk_Mortality[T.True],1.2552169091010656,0.8821961459476033,1.7859627885824063,0.20646665342483927
Medicaid (compared to: Private insurance),1.2083725348614394,0.8506900192885496,1.7164468254001934,0.2905334243847496
Medicare (compared to: Private insurance),1.076076788088326,0.7710824733436397,1.5017086938071813,0.6663294193019351
No charge (compared to: Private insurance),0.3642303820893891,0.03454672471390529,3.840125868244301,0.4006931792214852
Other (compared to: Private insurance),1.2851724214773912,0.7086541871796249,2.330711061624487,0.40876661612414333
Self-pay (compared to: Private insurance),1.349124577892438,0.7410211141288823,2.4562554183265566,0.32731323062216977
Asian or Pacific Islander (compared to: White),1.450611549933914,0.8651642737916236,2.432224645129638,0.15833416739297745
Black (compared to: White),1.4956319205275712,1.128170239592413,1.9827812888497636,0.005137485597843734
Hispanic (compared to: White),1.296415932134779,0.9012040740712509,1.8649430439214916,0.16173114349653173
Native American (compared to: White),1.4187059151233044,0.3511509708493219,5.7317981173103725,0.6234708551526436
Other (compared to: White),0.5711477488786216,0.25284543570663787,1.2901547941233142,0.177916631788393
Unknown (compared to: White),0.7385218621741615,0.5043959388304177,1.0813222290684705,0.11921736479346248
Male (compared to: Female),1.7084489006899097,1.3669056179199377,2.1353322482573343,2.519596693231884e-06
Unknown (compared to: Female),0.26774077771958876,0.004339316554112072,16.5199111795518,0.530972296407797
Rural (compared to: Urban teaching),0.9930527537057429,0.6001939659832026,1.643058456989149,0.9783511726489799
Urban nonteaching (compared to: Urban teaching),0.6453941404714276,0.4943740454810912,0.8425474604952425,0.001283498665453297
INCOME_QRTL[T.True],0.9472401893766883,0.7571583230213144,1.185041422763474,0.6352820036773238
